# Graphite Meter 0.7 ping protocol conformance corpus.
# operation | input | expected (INVALID means malformed)
# Go verifies all directions; the browser verifies encode-ping and decode-pong.
encode-ping | 0 | PING,0
encode-ping | 4294967295 | PING,4294967295
encode-pong | 0,0 | PONG,0,0
encode-pong | 5,15000000 | PONG,5,15000000
encode-pong | 4294967295,18446744073709551615 | PONG,4294967295,18446744073709551615
decode-ping | PING,0 | 0
decode-ping | PING,00001 | 1
decode-ping | PING,4294967295 | 4294967295
decode-ping | PING,4294967296 | INVALID
decode-ping | PING,00000000000 | INVALID
decode-ping | PING,+1 | INVALID
decode-ping | PING,-1 | INVALID
decode-ping | PING,1.0 | INVALID
decode-ping | PING, | INVALID
decode-ping | PING,1,2 | INVALID
decode-ping | PING | INVALID
decode-ping | HI,ws | INVALID
decode-ping | BYE | INVALID
decode-ping | PONG,1,0 | INVALID
decode-pong | PONG,0,0 | 0,0
decode-pong | PONG,00001,00000 | 1,0
decode-pong | PONG,4294967295,18446744073709551615 | 4294967295,18446744073709551615
decode-pong | PONG,5,9007199254740992 | 5,9007199254740992
decode-pong | PONG,4294967296,0 | INVALID
decode-pong | PONG,00000000000,0 | INVALID
decode-pong | PONG,1,000000000000000000000 | INVALID
decode-pong | PONG,1,18446744073709551616 | INVALID
decode-pong | PONG,1,+1 | INVALID
decode-pong | PONG,1,-1 | INVALID
decode-pong | PONG,+1,0 | INVALID
decode-pong | PONG,-1,0 | INVALID
decode-pong | PONG,1,NaN | INVALID
decode-pong | PONG,1,1.0 | INVALID
decode-pong | PONG,1, | INVALID
decode-pong | PONG,1 | INVALID
decode-pong | PONG,,0 | INVALID
decode-pong | PONG,1,0,0 | INVALID
decode-pong | PONG,1;TIME,0 | INVALID
decode-pong | PONG,1;TIME,0;HANDLING,0 | INVALID
decode-pong | READY | INVALID
decode-pong | PING,1 | INVALID
